Ticker,Nazwa,Kwartały,ROE,ROA,Marża zysku operacyjnego,Marża zysku netto,Marża zysku ze sprzedaży,Marża zysku brutto,Marża zysku brutto ze sprzedaży,Rentowność operacyjna aktywów
CYFROWY-POLSAT,CYFRPLSAT,2018/Q2,"7,34%","3,18%","17,85%","9,54%","17,75%","13,50%",,"5,95%"
CYFROWY-POLSAT,CYFRPLSAT,2018/Q3,"7,08%","3,06%","17,01%","9,06%","16,90%","13,18%",,"5,74%"
CYFROWY-POLSAT,CYFRPLSAT,2018/Q4,"6,30%","2,72%","16,16%","7,80%","15,98%","12,22%","26,96%","5,63%"
CYFROWY-POLSAT,CYFRPLSAT,2019/Q1,"6,10%","2,62%","16,01%","7,41%","15,75%","11,82%","28,50%","5,67%"
CYFROWY-POLSAT,CYFRPLSAT,2019/Q2,"6,43%","2,72%","15,98%","7,44%","15,65%","11,71%","30,16%","5,83%"
CYFROWY-POLSAT,CYFRPLSAT,2019/Q3,"6,35%","2,74%","16,30%","7,39%","16,01%","11,57%","32,53%","6,05%"
CYFROWY-POLSAT,CYFRPLSAT,2019/Q4,"7,97%","3,38%","16,85%","9,43%","16,45%","12,57%","27,76%","6,04%"
CYFROWY-POLSAT,CYFRPLSAT,2020/Q1,"7,09%","3,03%","16,52%","8,45%","16,22%","11,45%","27,30%","5,93%"
CYFROWY-POLSAT,CYFRPLSAT,2020/Q2,"7,11%","3,11%","15,50%","8,70%","15,37%","11,57%","26,43%","5,55%"
CYFROWY-POLSAT,CYFRPLSAT,2020/Q3,"8,08%","3,45%","15,75%","9,59%","15,68%","12,49%","26,55%","5,66%"
CYFROWY-POLSAT,CYFRPLSAT,2020/Q4,"7,92%","3,45%","15,77%","9,54%","15,79%","12,05%",,"5,70%"
CYFROWY-POLSAT,CYFRPLSAT,2021/Q1,"9,16%","4,09%","16,41%","11,15%","16,44%","13,97%","14,58%","6,02%"
CYFROWY-POLSAT,CYFRPLSAT,2021/Q2,"11,05%","4,86%","18,35%","12,90%","18,34%","15,99%","14,66%","6,91%"
CYFROWY-POLSAT,CYFRPLSAT,2021/Q3,"25,11%","12,22%","47,48%","35,38%","17,71%","45,38%","12,05%","16,41%"
CYFROWY-POLSAT,CYFRPLSAT,2021/Q4,"28,64%","13,68%","46,58%","35,43%","17,18%","45,53%",,"17,98%"
CYFROWY-POLSAT,CYFRPLSAT,2022/Q1,"27,10%","13,28%","44,64%","34,03%","15,55%","43,66%",,"17,42%"
CYFROWY-POLSAT,CYFRPLSAT,2022/Q2,"26,76%","12,52%","42,34%","31,84%","13,24%","40,78%",,"16,65%"
CYFROWY-POLSAT,CYFRPLSAT,2022/Q3,"7,13%","3,40%","13,07%","8,45%","12,66%","10,32%",,"5,26%"
CYFROWY-POLSAT,CYFRPLSAT,2022/Q4,"5,89%","2,79%","12,72%","6,97%","11,73%","8,60%",,"5,08%"
CYFROWY-POLSAT,CYFRPLSAT,2023/Q1,"4,89%","2,28%","12,34%","5,71%","11,20%","7,08%",,"4,94%"
CYFROWY-POLSAT,CYFRPLSAT,2023/Q2,"2,96%","1,31%","11,56%","3,44%","10,63%","4,89%",,"4,39%"
CYFROWY-POLSAT,CYFRPLSAT,2023/Q3,"2,20%","0,92%","11,47%","2,52%","9,71%","3,88%",,"4,17%"
CYFROWY-POLSAT,CYFRPLSAT,2023/Q4,"1,80%","0,75%","9,63%","2,04%","8,35%","3,10%",,"3,53%"
CYFROWY-POLSAT,CYFRPLSAT,2024/Q1,"2,52%","1,08%","10,60%","2,85%","8,09%","4,40%",,"4,01%"
CYFROWY-POLSAT,CYFRPLSAT,2024/Q2,"3,47%","1,49%","10,94%","3,91%","8,16%","5,58%",,"4,17%"
CYFROWY-POLSAT,CYFRPLSAT,2024/Q3,"4,21%","1,82%","11,26%","4,79%","10,22%","6,96%",,"4,28%"
CYFROWY-POLSAT,CYFRPLSAT,2024/Q4,"4,41%","1,90%","12,38%","4,98%","11,47%","7,57%",,"4,71%"
CYFROWY-POLSAT,CYFRPLSAT,2025/Q1,"3,79%","1,68%","11,98%","4,26%","12,31%","6,47%",,"4,72%"
CRI,CREOTECH,2019/Q4,"-63,60%","-14,09%","-12,22%","-12,11%","-26,33%","-12,51%",,"-14,22%"
CRI,CREOTECH,2020/Q4,"4,70%","1,19%","1,29%","1,00%","-18,39%","0,22%",,"1,54%"
CRI,CREOTECH,2021/Q3,"-11,28%","-5,17%","-8,20%","-8,28%","-40,57%","-11,22%",,"-5,12%"
CRI,CREOTECH,2021/Q4,"2,61%","1,03%","2,96%","1,42%","-23,67%","0,85%",,"2,14%"
CRI,CREOTECH,2022/Q1,"4,36%","1,73%","3,03%","2,57%","-28,50%","1,56%",,"2,04%"
CRI,CREOTECH,2022/Q2,"-13,31%","-4,50%","-6,80%","-7,51%","-48,30%","-8,94%",,"-4,07%"
CRI,CREOTECH,2022/Q3,"-9,80%","-6,74%","-19,91%","-19,10%","-64,49%","-21,69%",,"-7,03%"
CRI,CREOTECH,2022/Q4,"-14,51%","-9,17%","-39,96%","-32,40%","-98,56%","-40,29%",,"-11,31%"
CRI,CREOTECH,2023/Q1,"-20,86%","-8,32%","-45,09%","-37,19%","-84,56%","-45,50%",,"-10,09%"
CRI,CREOTECH,2023/Q2,"-24,15%","-9,20%","-41,52%","-32,39%","-63,44%","-41,44%",,"-11,79%"
CRI,CREOTECH,2023/Q3,"-30,01%","-9,74%","-35,94%","-28,92%","-44,40%","-37,56%",,"-12,11%"
CRI,CREOTECH,2023/Q4,"-15,70%","-8,31%","-37,77%","-32,12%","-37,40%","-39,13%",,"-9,77%"
CRI,CREOTECH,2024/Q1,"-17,71%","-9,31%","-42,50%","-35,89%","-41,35%","-43,44%",,"-11,03%"
CRI,CREOTECH,2024/Q2,"-19,35%","-9,81%","-45,42%","-38,11%","-44,26%","-46,12%",,"-11,69%"
CRI,CREOTECH,2024/Q3,"-25,47%","-12,32%","-67,98%","-56,44%","-67,34%","-67,52%",,"-14,84%"
CRI,CREOTECH,2024/Q4,"-28,83%","-12,60%","-68,11%","-56,07%","-62,79%","-68,14%",,"-15,31%"
CRI,CREOTECH,2025/Q1,"-10,83%","-6,27%","-37,87%","-30,50%","-34,31%","-37,24%",,"-7,78%"
CRJ,CREEPYJAR,2017/Q4,"-26,78%","-26,20%",,,,,,"-26,57%"
CRJ,CREEPYJAR,2018/Q1,"-17,40%","-16,90%",,,,,,"-17,23%"
CRJ,CREEPYJAR,2018/Q2,"-22,23%","-21,53%",,,,,,"-21,70%"
CRJ,CREEPYJAR,2018/Q3,"16,75%","15,54%","54,10%","46,44%","54,10%","54,10%",,"18,11%"
CRJ,CREEPYJAR,2018/Q4,"33,03%","30,31%","70,46%","63,59%","68,87%","71,96%",,"33,58%"
CRJ,CREEPYJAR,2019/Q1,"40,94%","37,55%","76,61%","70,05%","75,28%","77,75%",,"41,07%"
CRJ,CREEPYJAR,2019/Q2,"45,32%","41,87%","77,96%","71,47%","76,75%","78,74%",,"45,67%"
CRJ,CREEPYJAR,2019/Q3,"23,19%","21,76%","56,02%","56,09%","54,29%","58,08%",,"21,74%"
CRJ,CREEPYJAR,2019/Q4,"1,97%","1,83%","6,57%","1,99%","6,67%","4,64%",,"6,05%"
CRJ,CREEPYJAR,2020/Q1,"7,35%","6,94%","9,45%","7,73%","9,54%","10,11%",,"8,48%"
CRJ,CREEPYJAR,2020/Q2,"67,48%","60,77%","69,20%","54,02%","69,23%","67,84%",,"77,84%"
CRJ,CREEPYJAR,2020/Q3,"55,41%","50,32%","58,54%","42,33%","58,57%","56,24%",,"69,60%"
CRJ,CREEPYJAR,2020/Q4,"63,16%","59,15%","67,71%","59,49%","67,72%","64,96%",,"67,33%"
CRJ,CREEPYJAR,2021/Q1,"63,06%","58,78%","65,75%","58,95%","65,76%","64,46%",,"65,57%"
CRJ,CREEPYJAR,2021/Q2,"36,24%","33,88%","51,96%","51,28%","51,96%","50,73%",,"34,33%"
CRJ,CREEPYJAR,2021/Q3,"45,09%","41,66%","65,01%","65,51%","65,00%","66,11%",,"41,35%"
CRJ,CREEPYJAR,2021/Q4,"40,96%","39,13%","65,45%","63,09%","65,46%","68,05%",,"40,60%"
CRJ,CREEPYJAR,2022/Q1,"38,93%","36,84%","66,09%","62,89%","66,35%","68,21%",,"38,71%"
CRJ,CREEPYJAR,2022/Q2,"45,50%","42,07%","67,83%","67,27%","68,14%","71,66%",,"42,42%"
CRJ,CREEPYJAR,2022/Q3,"40,94%","37,25%","67,01%","69,27%","67,33%","72,59%",,"36,04%"
CRJ,CREEPYJAR,2022/Q4,"36,45%","35,15%","65,67%","66,40%","66,02%","72,11%",,"34,76%"
CRJ,CREEPYJAR,2023/Q1,"35,95%","34,04%","67,95%","70,30%","68,27%","75,85%",,"32,90%"
CRJ,CREEPYJAR,2023/Q2,"35,00%","25,36%","60,23%","65,57%","60,79%","70,91%",,"23,29%"
CRJ,CREEPYJAR,2023/Q3,"27,92%","25,93%","57,56%","64,09%","58,83%","70,48%",,"23,29%"
CRJ,CREEPYJAR,2023/Q4,"18,76%","17,94%","42,02%","48,87%","44,03%","55,27%",,"15,43%"
CRJ,CREEPYJAR,2024/Q1,"12,08%","11,57%","30,48%","37,66%","31,70%","44,54%",,"9,37%"
CRJ,CREEPYJAR,2024/Q2,"12,00%","11,32%","29,95%","35,96%","31,23%","43,34%",,"9,43%"
CRJ,CREEPYJAR,2024/Q3,"8,72%","8,25%","24,03%","28,44%","24,75%","34,59%",,"6,97%"
CRJ,CREEPYJAR,2024/Q4,"14,81%","14,20%","44,95%","51,30%","45,99%","57,69%",,"12,44%"
CRJ,CREEPYJAR,2025/Q1,"15,52%","14,80%","49,40%","54,52%","50,80%","61,06%",,"13,41%"
CORMAY,CORMAY,2007/Q4,"13,36%","8,71%","8,21%","5,77%","8,67%","7,90%","37,21%","12,39%"
CORMAY,CORMAY,2008/Q2,"11,58%","7,49%","7,42%","5,16%","7,10%","6,48%","39,03%","10,79%"
CORMAY,CORMAY,2008/Q3,"12,54%","8,38%","7,48%","5,96%","6,55%","7,46%","37,14%","10,51%"
CORMAY,CORMAY,2008/Q4,"7,49%","5,10%","5,88%","4,57%","4,48%","6,13%","37,54%","6,57%"
CORMAY,CORMAY,2009/Q1,"10,64%","7,60%","7,52%","6,20%","6,39%","7,64%","39,26%","9,20%"
CORMAY,CORMAY,2009/Q2,"11,54%","8,09%","7,40%","6,68%","7,31%","8,65%","40,88%","8,96%"
CORMAY,CORMAY,2009/Q3,"11,74%","8,86%","7,49%","6,82%","8,08%","8,42%","41,84%","9,73%"
CORMAY,CORMAY,2009/Q4,"6,91%","5,82%","8,35%","7,69%","10,57%","9,00%","41,19%","6,33%"
CORMAY,CORMAY,2010/Q1,"7,71%","5,93%","7,88%","7,87%","11,19%","9,02%","43,42%","5,94%"
CORMAY,CORMAY,2010/Q2,"9,68%","6,94%","8,51%","8,82%","11,21%","9,60%","37,92%","6,70%"
CORMAY,CORMAY,2010/Q3,"11,98%","9,39%","9,57%","10,29%","11,90%","10,48%","38,36%","8,73%"
CORMAY,CORMAY,2010/Q4,"9,23%","7,21%","8,23%","9,90%","8,61%","10,00%","42,48%","5,99%"
CORMAY,CORMAY,2011/Q1,"11,30%","9,23%","11,93%","12,03%","11,16%","11,89%","42,71%","9,15%"
CORMAY,CORMAY,2011/Q2,"10,69%","8,52%","12,49%","11,72%","11,17%","11,76%","42,66%","9,08%"
CORMAY,CORMAY,2011/Q3,"10,15%","7,52%","13,87%","14,31%","12,55%","12,90%","42,70%","7,29%"
CORMAY,CORMAY,2011/Q4,"12,63%","8,59%","14,18%","15,23%","14,12%","13,39%","42,40%","8,00%"
CORMAY,CORMAY,2012/Q1,"13,96%","9,66%","13,40%","16,44%","13,36%","13,98%","42,25%","7,87%"
CORMAY,CORMAY,2012/Q2,"14,02%","9,87%","13,25%","15,78%","13,47%","12,90%","43,37%","8,29%"
CORMAY,CORMAY,2012/Q3,"13,56%","9,48%","13,21%","15,63%","13,25%","14,56%","43,26%","8,01%"
CORMAY,CORMAY,2012/Q4,"8,92%","6,20%","13,02%","14,58%","11,75%","14,67%","42,09%","5,54%"
CORMAY,CORMAY,2013/Q1,"8,36%","3,06%","11,97%","11,64%","9,30%","12,04%","42,54%","3,15%"
CORMAY,CORMAY,2013/Q2,"6,77%","2,95%","11,70%","9,34%","9,03%","11,39%","43,87%","3,69%"
CORMAY,CORMAY,2013/Q3,"3,15%","1,48%","10,30%","4,62%","8,28%","8,14%","43,65%","3,30%"
CORMAY,CORMAY,2013/Q4,"3,90%","1,60%","10,18%","4,18%","12,32%","8,31%","47,44%","3,91%"
CORMAY,CORMAY,2014/Q1,"3,15%","1,80%","9,66%","3,24%","13,17%","8,80%","47,68%","5,37%"
CORMAY,CORMAY,2014/Q2,"-3,70%","-2,03%","0,98%","-4,06%","12,80%","0,87%","48,65%","0,49%"
CORMAY,CORMAY,2014/Q3,"-3,14%","-1,54%","-2,22%","-3,84%","10,17%","-0,95%","48,25%","-0,90%"
CORMAY,CORMAY,2014/Q4,"-44,19%","-17,30%","-30,75%","-42,77%","-7,03%","-63,22%","39,24%","-12,43%"
CORMAY,CORMAY,2015/Q1,"-58,69%","-30,01%","-41,09%","-47,23%","-13,22%","-73,42%","35,38%","-26,11%"
CORMAY,CORMAY,2015/Q2,"-53,14%","-26,30%","-42,18%","-49,56%","-23,07%","-82,52%","30,09%","-22,39%"
CORMAY,CORMAY,2015/Q3,"-34,61%","-21,79%","-53,37%","-64,36%","-27,46%","-102,60%","27,20%","-18,07%"
CORMAY,CORMAY,2015/Q4,"-4,09%","-2,27%","-21,31%","-11,46%","-20,42%","-50,52%","25,05%","-4,22%"
CORMAY,CORMAY,2016/Q1,"-8,09%","-4,01%","-18,13%","-16,01%","-16,47%","-34,09%","28,58%","-4,54%"
CORMAY,CORMAY,2016/Q2,"-4,86%","-2,61%","-10,08%","-8,12%","-8,83%","-22,63%","31,90%","-3,24%"
CORMAY,CORMAY,2016/Q3,"-3,59%","-1,92%","-8,42%","-5,35%","-8,17%","-17,45%","34,41%","-3,02%"
CORMAY,CORMAY,2016/Q4,"-10,77%","-5,84%","-9,47%","-13,36%","-6,05%","-21,69%","38,00%","-4,14%"
CORMAY,CORMAY,2017/Q1,"-13,08%","-7,04%","-9,55%","-16,32%","-6,40%","-33,67%","37,90%","-4,12%"
CORMAY,CORMAY,2017/Q2,"-13,62%","-7,30%","-10,64%","-17,05%","-7,24%","-34,14%","38,22%","-4,56%"
CORMAY,CORMAY,2017/Q3,"-13,46%","-7,31%","-9,78%","-17,45%","-7,26%","-36,98%","39,55%","-4,09%"
CORMAY,CORMAY,2017/Q4,"-1,57%","-1,16%","-11,23%","-2,60%","-3,69%","-2,45%","40,14%","-4,99%"
CORMAY,CORMAY,2018/Q1,"-1,03%","-0,75%","-10,82%","-1,77%","-3,48%","-1,61%","41,28%","-4,58%"
CORMAY,CORMAY,2018/Q2,"-0,61%","-0,44%","-11,80%","-1,11%","-4,43%","-1,53%","41,73%","-4,66%"
CORMAY,CORMAY,2018/Q3,"-0,85%","-0,60%","-13,96%","-1,53%","-5,65%","-1,59%","40,82%","-5,45%"
CORMAY,CORMAY,2018/Q4,"-22,36%","-15,47%","-39,19%","-35,79%","-6,67%","-35,64%","40,24%","-16,93%"
CORMAY,CORMAY,2019/Q1,"-19,53%","-13,31%","-34,34%","-32,81%","-7,54%","-32,06%","40,83%","-13,93%"
CORMAY,CORMAY,2019/Q2,"-22,84%","-15,92%","-30,12%","-38,46%","-9,02%","-38,73%","40,06%","-12,47%"
CORMAY,CORMAY,2019/Q3,"-24,09%","-17,93%","-26,41%","-38,37%","-6,92%","-38,64%","40,32%","-12,34%"
CORMAY,CORMAY,2019/Q4,"-56,17%","-39,56%","-50,05%","-59,25%","-9,15%","-60,12%","39,39%","-33,41%"
CORMAY,CORMAY,2020/Q1,"-73,58%","-49,37%","-57,14%","-72,74%","-8,69%","-74,48%","39,17%","-38,78%"
CORMAY,CORMAY,2020/Q2,"-68,24%","-47,53%","-64,00%","-69,22%","-7,43%","-70,08%","40,74%","-43,94%"
CORMAY,CORMAY,2020/Q3,"-69,68%","-47,73%","-69,76%","-73,18%","-8,51%","-73,80%","40,42%","-45,50%"
CORMAY,CORMAY,2020/Q4,"-20,28%","-13,51%","-11,19%","-19,40%","-4,75%","-19,82%","40,60%","-7,79%"
CORMAY,CORMAY,2021/Q1,"-7,02%","-4,68%","-7,65%","-6,53%","-2,02%","-6,64%","40,28%","-5,48%"
CORMAY,CORMAY,2021/Q2,"-5,23%","-3,51%","-3,69%","-4,48%","0,66%","-4,49%","39,85%","-2,89%"
CORMAY,CORMAY,2021/Q3,"-6,48%","-4,21%","-3,06%","-4,94%","1,74%","-4,94%","39,25%","-2,60%"
CORMAY,CORMAY,2021/Q4,"2,52%","1,64%","-0,08%","1,93%","0,37%","2,07%","38,08%","-0,07%"
CORMAY,CORMAY,2022/Q1,"-2,54%","-1,65%","-1,05%","-1,86%","-1,16%","-1,72%","38,00%","-0,93%"
CORMAY,CORMAY,2022/Q2,"-11,10%","-7,29%","-1,48%","-7,92%","-1,14%","-5,86%","38,11%","-1,36%"
CORMAY,CORMAY,2022/Q3,"-5,84%","-3,74%","-2,51%","-4,27%","-2,75%","-4,17%","39,51%","-2,20%"
CORMAY,CORMAY,2022/Q4,"-11,44%","-6,83%","-5,05%","-8,16%","-4,09%","-7,31%","40,86%","-4,23%"
CORMAY,CORMAY,2023/Q1,"-5,19%","-3,17%","-5,23%","-3,78%","-4,41%","-2,16%","41,55%","-4,40%"
CORMAY,CORMAY,2023/Q2,"-2,51%","-1,58%","-6,61%","-1,71%","-5,39%","-2,26%","41,33%","-6,11%"
CORMAY,CORMAY,2023/Q3,"-9,64%","-5,83%","-6,42%","-6,51%","-5,19%","-4,93%","40,51%","-5,75%"
CORMAY,CORMAY,2023/Q4,"-8,14%","-4,79%","-6,52%","-5,47%","-6,33%","-4,70%","40,87%","-5,71%"
CORMAY,CORMAY,2024/Q1,"-11,39%","-6,77%","-5,87%","-7,34%","-5,68%","-7,31%","40,06%","-5,42%"
CORMAY,CORMAY,2024/Q2,"-14,95%","-8,61%","-7,66%","-9,29%","-8,09%","-9,42%","38,24%","-7,09%"
CORMAY,CORMAY,2024/Q3,"-11,96%","-6,55%","-6,44%","-6,82%","-6,34%","-7,02%","38,13%","-6,18%"
CORMAY,CORMAY,2024/Q4,"-10,63%","-5,87%","-4,15%","-5,75%","-5,04%","-5,84%","36,63%","-4,24%"
CORMAY,CORMAY,2025/Q1,"-8,81%","-5,06%","-3,25%","-4,79%","-3,86%","-4,84%","37,62%","-3,43%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2010/Q4,"-16,07%","-12,86%","-71,50%","-69,37%","-71,29%","-70,15%",,"-13,26%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2011/Q1,"-10,55%",,"-21,72%","-21,17%","-22,57%","-21,82%",,
CASPAR-ASSET-MANAGEMENT,CASPAR,2011/Q2,"-1,29%",,"-1,77%","-1,63%","-2,61%","-1,73%",,
CASPAR-ASSET-MANAGEMENT,CASPAR,2011/Q3,"8,06%",,"8,60%","8,31%","7,13%","8,79%",,
CASPAR-ASSET-MANAGEMENT,CASPAR,2011/Q4,"9,34%","8,00%","9,64%","8,58%","9,70%","9,67%",,"9,00%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2012/Q1,"5,42%",,"8,52%","7,21%","8,05%","8,57%",,
CASPAR-ASSET-MANAGEMENT,CASPAR,2012/Q2,"-0,39%",,"1,48%","-0,53%","-0,33%","1,38%",,
CASPAR-ASSET-MANAGEMENT,CASPAR,2012/Q3,"-2,52%","-2,29%","-3,21%","-3,61%","-6,70%","-3,51%",,"-2,04%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2012/Q4,"-5,37%","-4,75%","-7,23%","-7,29%","-7,43%","-7,29%",,"-4,71%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2013/Q1,"-4,28%","-3,80%","-5,62%","-5,57%","-6,69%","-5,74%",,"-3,84%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2013/Q2,"0,84%","0,76%","0,56%","1,00%","0,33%","0,51%",,"0,42%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2013/Q3,"2,19%","2,02%","3,77%","3,25%","7,93%","3,76%",,"2,35%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2013/Q4,"7,01%","6,30%","8,65%","8,03%","6,30%","8,65%",,"6,78%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2014/Q1,"9,22%","8,27%","11,28%","10,12%","9,83%","11,37%",,"9,22%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2014/Q2,"11,44%","9,52%","12,98%","11,28%","12,75%","13,15%",,"10,95%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2014/Q3,"12,35%","11,17%","12,45%","10,58%","11,01%","12,64%",,"13,14%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2014/Q4,"13,32%","11,97%","15,15%","12,66%","15,01%","15,29%",,"14,33%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2015/Q1,"12,21%","11,06%","14,32%","11,89%","14,73%","14,40%",,"13,31%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2015/Q2,"11,00%","9,75%","12,02%","9,97%","11,95%","12,08%",,"11,76%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2015/Q3,"7,99%","7,29%","9,70%","7,75%","8,44%","9,74%",,"9,12%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2015/Q4,"7,84%","6,96%","10,03%","7,85%","8,30%","10,04%",,"8,90%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2016/Q1,"7,11%","6,41%","9,71%","7,47%","7,67%","9,77%",,"8,34%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2016/Q2,"7,47%","6,70%","10,11%","7,71%","6,21%","10,13%",,"8,79%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2016/Q3,"9,13%","8,26%","12,17%","9,53%","9,37%","12,18%",,"10,54%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2016/Q4,"12,47%","11,04%","16,08%","13,28%","12,60%","16,15%",,"13,37%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2017/Q1,"13,97%","12,68%","18,02%","15,03%","14,33%","18,00%",,"15,19%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2017/Q2,"17,58%","14,21%","19,72%","16,32%","16,93%","19,64%",,"17,17%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2017/Q3,"16,37%","14,45%","18,09%","14,83%","15,31%","17,99%",,"17,63%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2017/Q4,"19,82%","16,60%","21,27%","17,21%","19,54%","21,08%",,"20,51%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2018/Q1,"17,60%","15,46%","18,89%","15,09%","17,41%","18,74%",,"19,35%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2018/Q2,"18,74%","13,64%","16,24%","12,91%","15,22%","16,22%",,"17,15%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2018/Q3,"19,33%","16,83%","16,78%","13,34%","15,90%","16,74%",,"21,16%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2018/Q4,"10,97%","9,32%","10,65%","8,25%","9,71%","10,55%",,"12,03%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2019/Q1,"11,04%","9,44%","10,84%","8,35%","10,08%","10,74%",,"12,27%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2019/Q2,"18,46%","14,19%","15,52%","12,29%","15,37%","15,34%",,"17,92%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2019/Q3,"18,53%","15,81%","15,86%","12,68%","15,35%","15,69%",,"19,77%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2019/Q4,"28,10%","21,78%","24,01%","19,02%","25,15%","23,95%",,"27,50%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2020/Q1,"30,00%","25,45%","25,73%","20,52%","26,69%","25,69%",,"31,91%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2020/Q2,"47,45%","39,43%","34,95%","27,95%","35,40%","34,92%",,"49,32%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2020/Q3,"48,69%","41,77%","36,40%","29,13%","37,16%","36,33%",,"52,21%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2020/Q4,"74,85%","51,88%","58,96%","47,61%","58,98%","58,95%",,"64,25%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2021/Q1,"73,81%","65,03%","57,78%","46,58%","57,76%","57,68%",,"80,66%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2021/Q2,"118,78%","58,33%","54,87%","44,19%","54,69%","54,72%",,"72,41%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2021/Q3,"109,63%","91,25%","54,17%","43,56%","54,03%","53,98%",,"113,49%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2021/Q4,"33,74%","25,74%","27,15%","22,56%","26,94%","28,07%",,"30,99%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2022/Q1,"30,95%","23,69%","25,94%","21,73%","25,99%","27,19%",,"28,29%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2022/Q2,"33,21%","18,27%","21,62%","17,72%","22,01%","22,97%",,"22,29%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2022/Q3,"24,62%","17,26%","16,86%","14,45%","17,28%","18,97%",,"20,14%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2022/Q4,"19,24%","13,32%","15,71%","12,28%","15,60%","16,56%",,"17,04%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2023/Q1,"15,30%","10,98%","13,73%","10,66%","13,50%","14,54%",,"14,14%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2023/Q2,"18,72%","10,47%","13,30%","10,53%","12,75%","14,22%",,"13,23%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2023/Q3,"15,46%","10,80%","12,63%","9,31%","12,00%","13,08%",,"14,65%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2023/Q4,"12,88%","8,32%","11,27%","7,91%","10,78%","11,43%",,"11,85%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2024/Q1,"8,87%","5,92%","8,76%","5,55%","8,30%","8,71%",,"9,35%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2024/Q2,"10,14%","6,18%","8,32%","5,65%","8,17%","8,29%",,"9,11%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2024/Q3,"8,40%","5,23%","7,92%","6,29%","7,85%","7,96%",,"6,59%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2024/Q4,"6,59%","3,96%","5,52%","4,51%","5,56%","5,87%",,"4,86%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2025/Q1,"7,82%","4,83%","6,03%","5,14%","5,74%","6,25%",,"5,65%"
CTS,CITYSERV,2013/Q4,"12,02%","5,15%","6,93%","4,84%","5,95%","5,80%","18,90%","7,38%"
CTS,CITYSERV,2014/Q4,"9,64%","4,53%","4,92%","3,44%","4,43%","3,83%","18,84%","6,48%"
CTS,CITYSERV,2015/Q1,"10,15%","4,91%","4,36%","3,90%","3,72%","5,46%","18,91%","5,49%"
CTS,CITYSERV,2015/Q2,"8,36%","4,07%","3,78%","3,29%","3,06%","4,53%","19,40%","4,67%"
CTS,CITYSERV,2015/Q3,"11,87%","6,16%","4,05%","4,90%","3,09%","4,83%","20,25%","5,09%"
CTS,CITYSERV,2015/Q4,"11,55%","5,95%","3,52%","4,84%","3,43%","4,51%","20,69%","4,32%"
CTS,CITYSERV,2016/Q1,"8,75%","4,39%","3,22%","3,77%","3,27%","3,09%","20,69%","3,75%"
