Ticker,Nazwa,Kwartały,Udział zysku netto w przepływach operacyjnych,Wskaźnik źródeł finansowania inwestycji
CYFROWY-POLSAT,CYFRPLSAT,2014/Q1,"64,75%","56,46%"
CYFROWY-POLSAT,CYFRPLSAT,2014/Q2,"51,75%",
CYFROWY-POLSAT,CYFRPLSAT,2014/Q3,"28,14%",
CYFROWY-POLSAT,CYFRPLSAT,2014/Q4,"14,82%",
CYFROWY-POLSAT,CYFRPLSAT,2015/Q1,"16,43%",
CYFROWY-POLSAT,CYFRPLSAT,2015/Q2,"20,45%","302,72%"
CYFROWY-POLSAT,CYFRPLSAT,2015/Q3,"35,91%","894,46%"
CYFROWY-POLSAT,CYFRPLSAT,2015/Q4,"40,29%","145,03%"
CYFROWY-POLSAT,CYFRPLSAT,2016/Q1,"40,05%","39,67%"
CYFROWY-POLSAT,CYFRPLSAT,2016/Q2,"37,21%","154,94%"
CYFROWY-POLSAT,CYFRPLSAT,2016/Q3,"30,05%","96,97%"
CYFROWY-POLSAT,CYFRPLSAT,2016/Q4,"36,10%","123,28%"
CYFROWY-POLSAT,CYFRPLSAT,2017/Q1,"35,90%","285,35%"
CYFROWY-POLSAT,CYFRPLSAT,2017/Q2,"39,59%","55,32%"
CYFROWY-POLSAT,CYFRPLSAT,2017/Q3,"41,09%","104,74%"
CYFROWY-POLSAT,CYFRPLSAT,2017/Q4,"33,34%","111,29%"
CYFROWY-POLSAT,CYFRPLSAT,2018/Q1,"36,31%","187,46%"
CYFROWY-POLSAT,CYFRPLSAT,2018/Q2,"35,83%","134,70%"
CYFROWY-POLSAT,CYFRPLSAT,2018/Q3,"32,86%","96,59%"
CYFROWY-POLSAT,CYFRPLSAT,2018/Q4,"28,60%","99,71%"
CYFROWY-POLSAT,CYFRPLSAT,2019/Q1,"27,07%","102,12%"
CYFROWY-POLSAT,CYFRPLSAT,2019/Q2,"26,21%","105,57%"
CYFROWY-POLSAT,CYFRPLSAT,2019/Q3,"25,49%","118,06%"
CYFROWY-POLSAT,CYFRPLSAT,2019/Q4,"31,69%","118,63%"
CYFROWY-POLSAT,CYFRPLSAT,2020/Q1,"27,91%","87,74%"
CYFROWY-POLSAT,CYFRPLSAT,2020/Q2,"31,08%","82,60%"
CYFROWY-POLSAT,CYFRPLSAT,2020/Q3,"34,56%","91,26%"
CYFROWY-POLSAT,CYFRPLSAT,2020/Q4,"35,11%","74,56%"
CYFROWY-POLSAT,CYFRPLSAT,2021/Q1,"40,12%","93,38%"
CYFROWY-POLSAT,CYFRPLSAT,2021/Q2,"45,48%","127,47%"
CYFROWY-POLSAT,CYFRPLSAT,2021/Q3,"126,64%",
CYFROWY-POLSAT,CYFRPLSAT,2021/Q4,"136,31%",
CYFROWY-POLSAT,CYFRPLSAT,2022/Q1,"144,80%",
CYFROWY-POLSAT,CYFRPLSAT,2022/Q2,"193,25%",
CYFROWY-POLSAT,CYFRPLSAT,2022/Q3,"57,29%","-41,47%"
CYFROWY-POLSAT,CYFRPLSAT,2022/Q4,"51,09%","-198,79%"
CYFROWY-POLSAT,CYFRPLSAT,2023/Q1,"50,56%","377,48%"
CYFROWY-POLSAT,CYFRPLSAT,2023/Q2,"17,74%","40,81%"
CYFROWY-POLSAT,CYFRPLSAT,2023/Q3,"15,77%","40,16%"
CYFROWY-POLSAT,CYFRPLSAT,2023/Q4,"11,64%","46,86%"
CYFROWY-POLSAT,CYFRPLSAT,2024/Q1,"13,62%","55,25%"
CYFROWY-POLSAT,CYFRPLSAT,2024/Q2,"20,94%","138,47%"
CYFROWY-POLSAT,CYFRPLSAT,2024/Q3,"19,57%","188,39%"
CYFROWY-POLSAT,CYFRPLSAT,2024/Q4,"20,73%","140,74%"
CYFROWY-POLSAT,CYFRPLSAT,2025/Q1,"18,52%","146,43%"
CRI,CREOTECH,2019/Q4,"104,22%","54,63%"
CRI,CREOTECH,2020/Q4,"-3,94%",
CRI,CREOTECH,2021/Q3,"16,20%","60,94%"
CRI,CREOTECH,2021/Q4,"-4,20%","59,68%"
CRI,CREOTECH,2022/Q1,"-6,40%","72,81%"
CRI,CREOTECH,2022/Q2,"17,43%","-922,07%"
CRI,CREOTECH,2022/Q3,"35,24%","32,42%"
CRI,CREOTECH,2022/Q4,"41,85%","39,95%"
CRI,CREOTECH,2023/Q1,"405,83%","30,60%"
CRI,CREOTECH,2023/Q2,"756,88%","46,21%"
CRI,CREOTECH,2023/Q3,"-150,46%","138,82%"
CRI,CREOTECH,2023/Q4,"-92,69%","31,42%"
CRI,CREOTECH,2024/Q1,"-2 948,20%","44,95%"
CRI,CREOTECH,2024/Q2,"-474,74%","42,08%"
CRI,CREOTECH,2024/Q3,"990,28%","44,51%"
CRI,CREOTECH,2024/Q4,"110,17%","-83,89%"
CRI,CREOTECH,2025/Q1,"1 206,37%","37,07%"
CRJ,CREEPYJAR,2017/Q4,"32,50%","6,16%"
CRJ,CREEPYJAR,2018/Q1,"29,47%","-3,00%"
CRJ,CREEPYJAR,2018/Q2,"35,53%","-1,22%"
CRJ,CREEPYJAR,2018/Q3,"-35,46%","-1,76%"
CRJ,CREEPYJAR,2018/Q4,"498,64%","1,27%"
CRJ,CREEPYJAR,2019/Q1,"172,59%",
CRJ,CREEPYJAR,2019/Q2,"112,61%",
CRJ,CREEPYJAR,2019/Q3,"50,23%",
CRJ,CREEPYJAR,2019/Q4,"2,51%",
CRJ,CREEPYJAR,2020/Q1,"9,21%",
CRJ,CREEPYJAR,2020/Q2,"85,03%","19,88%"
CRJ,CREEPYJAR,2020/Q3,"62,12%","18,34%"
CRJ,CREEPYJAR,2020/Q4,"89,36%","12,73%"
CRJ,CREEPYJAR,2021/Q1,"80,68%","10,65%"
CRJ,CREEPYJAR,2021/Q2,"78,46%","15,95%"
CRJ,CREEPYJAR,2021/Q3,"93,98%","11,93%"
CRJ,CREEPYJAR,2021/Q4,"81,97%","10,19%"
CRJ,CREEPYJAR,2022/Q1,"81,94%","8,57%"
CRJ,CREEPYJAR,2022/Q2,"85,82%","44,75%"
CRJ,CREEPYJAR,2022/Q3,"77,80%","63,22%"
CRJ,CREEPYJAR,2022/Q4,"80,26%","277,07%"
CRJ,CREEPYJAR,2023/Q1,"89,31%","321,56%"
CRJ,CREEPYJAR,2023/Q2,"77,53%","55,65%"
CRJ,CREEPYJAR,2023/Q3,"97,85%","625,90%"
CRJ,CREEPYJAR,2023/Q4,"77,94%",
CRJ,CREEPYJAR,2024/Q1,"67,90%",
CRJ,CREEPYJAR,2024/Q2,"57,47%",
CRJ,CREEPYJAR,2024/Q3,"53,10%","136,70%"
CRJ,CREEPYJAR,2024/Q4,"87,29%","474,66%"
CRJ,CREEPYJAR,2025/Q1,"85,37%","332,37%"
CORMAY,CORMAY,2007/Q4,"412,41%","90,24%"
CORMAY,CORMAY,2008/Q2,"-15 630,00%","104,48%"
CORMAY,CORMAY,2008/Q3,"72,05%","133,77%"
CORMAY,CORMAY,2008/Q4,"64,46%","17,75%"
CORMAY,CORMAY,2009/Q1,"122,93%","41,68%"
CORMAY,CORMAY,2009/Q2,"-376,43%","44,68%"
CORMAY,CORMAY,2009/Q3,"-213,07%","55,15%"
CORMAY,CORMAY,2009/Q4,"-186,85%","17,32%"
CORMAY,CORMAY,2010/Q1,"232,70%","52,83%"
CORMAY,CORMAY,2010/Q2,"-71,29%","45,01%"
CORMAY,CORMAY,2010/Q3,"-69,51%","54,40%"
CORMAY,CORMAY,2010/Q4,"-62,89%","67,30%"
CORMAY,CORMAY,2011/Q1,"-58,74%",
CORMAY,CORMAY,2011/Q2,"218,76%","63,72%"
CORMAY,CORMAY,2011/Q3,"333,08%","69,97%"
CORMAY,CORMAY,2011/Q4,"587,45%","85,42%"
CORMAY,CORMAY,2012/Q1,"1 364,35%","79,39%"
CORMAY,CORMAY,2012/Q2,"-556,63%","79,09%"
CORMAY,CORMAY,2012/Q3,"-1 324,92%","194,13%"
CORMAY,CORMAY,2012/Q4,"682,43%","7,88%"
CORMAY,CORMAY,2013/Q1,"-118,35%","95,08%"
CORMAY,CORMAY,2013/Q2,"-102,87%","99,64%"
CORMAY,CORMAY,2013/Q3,"-112,10%","80,03%"
CORMAY,CORMAY,2013/Q4,"-220,04%","133,11%"
CORMAY,CORMAY,2014/Q1,"37,18%","36,80%"
CORMAY,CORMAY,2014/Q2,"-76,47%",
CORMAY,CORMAY,2014/Q3,"-30,66%","21,74%"
CORMAY,CORMAY,2014/Q4,"-684,97%","103,40%"
CORMAY,CORMAY,2015/Q1,"-1 114,75%","34,10%"
CORMAY,CORMAY,2015/Q2,"-542,61%","43,11%"
CORMAY,CORMAY,2015/Q3,"665,55%","7,72%"
CORMAY,CORMAY,2015/Q4,"97,84%","34,56%"
CORMAY,CORMAY,2016/Q1,"136,04%","103,73%"
CORMAY,CORMAY,2016/Q2,"78,76%","113,71%"
CORMAY,CORMAY,2016/Q3,"38,74%","-270,76%"
CORMAY,CORMAY,2016/Q4,"212,70%","-251,01%"
CORMAY,CORMAY,2017/Q1,"331,10%","-548,84%"
CORMAY,CORMAY,2017/Q2,"-2 603,46%","478,99%"
CORMAY,CORMAY,2017/Q3,"-1 078,17%","239,33%"
CORMAY,CORMAY,2017/Q4,"-122,04%","155,88%"
CORMAY,CORMAY,2018/Q1,"-50,08%","162,46%"
CORMAY,CORMAY,2018/Q2,"-31,27%","124,75%"
CORMAY,CORMAY,2018/Q3,"-23,73%","67,53%"
CORMAY,CORMAY,2018/Q4,"1 600,38%","78,61%"
CORMAY,CORMAY,2019/Q1,"2 121,53%","99,62%"
CORMAY,CORMAY,2019/Q2,"399,47%",
CORMAY,CORMAY,2019/Q3,"301,53%",
CORMAY,CORMAY,2019/Q4,"923,35%",
CORMAY,CORMAY,2020/Q1,"628,81%",
CORMAY,CORMAY,2020/Q2,"545,05%","-261,67%"
CORMAY,CORMAY,2020/Q3,"877,40%","-108,24%"
CORMAY,CORMAY,2020/Q4,"7 866,46%",
CORMAY,CORMAY,2021/Q1,"-180,76%","18,70%"
CORMAY,CORMAY,2021/Q2,"-59,99%","91,30%"
CORMAY,CORMAY,2021/Q3,"-123,85%","314,96%"
CORMAY,CORMAY,2021/Q4,"-111,30%","-226,25%"
CORMAY,CORMAY,2022/Q1,"91,61%",
CORMAY,CORMAY,2022/Q2,"133,57%",
CORMAY,CORMAY,2022/Q3,"47,22%",
CORMAY,CORMAY,2022/Q4,"79,95%",
CORMAY,CORMAY,2023/Q1,"29,63%",
CORMAY,CORMAY,2023/Q2,"15,57%",
CORMAY,CORMAY,2023/Q3,"100,57%",
CORMAY,CORMAY,2023/Q4,"138,38%",
CORMAY,CORMAY,2024/Q1,"242,39%","-6,10%"
CORMAY,CORMAY,2024/Q2,"753,92%",
CORMAY,CORMAY,2024/Q3,"253,87%",
CORMAY,CORMAY,2024/Q4,"200,34%",
CORMAY,CORMAY,2025/Q1,"257,03%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2010/Q4,"164,03%","58,93%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2011/Q1,"108,91%","58,93%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2011/Q2,"13,95%","58,93%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2011/Q3,"-92,44%","58,93%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2011/Q4,"129,61%","899,09%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2012/Q1,"107,04%","899,09%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2012/Q2,"-7,45%","899,09%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2012/Q3,"-305,19%","204,10%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2012/Q4,"96,56%","113,47%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2013/Q1,"82,55%","108,54%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2013/Q2,"-27,30%","105,12%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2013/Q3,"45,07%","41,47%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2013/Q4,"167,62%","69,07%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2014/Q1,"124,10%","86,41%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2014/Q2,"95,25%","75,92%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2014/Q3,"141,93%","10,40%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2014/Q4,"96,61%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2015/Q1,"100,07%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2015/Q2,"94,78%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2015/Q3,"73,14%","-46,72%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2015/Q4,"86,72%","-13,89%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2016/Q1,"85,15%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2016/Q2,"108,68%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2016/Q3,"107,23%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2016/Q4,"144,16%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2017/Q1,"111,68%","90,74%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2017/Q2,"131,91%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2017/Q3,"118,21%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2017/Q4,"152,26%","239,00%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2018/Q1,"107,45%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2018/Q2,"84,13%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2018/Q3,"89,05%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2018/Q4,"53,55%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2019/Q1,"65,56%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2019/Q2,"76,80%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2019/Q3,"77,92%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2019/Q4,"125,61%","27,63%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2020/Q1,"84,27%","34,07%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2020/Q2,"87,49%","86,89%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2020/Q3,"91,53%","55,23%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2020/Q4,"262,80%","86,49%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2021/Q1,"98,67%","37,03%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2021/Q2,"100,20%","18,67%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2021/Q3,"98,80%","65,21%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2021/Q4,"30,21%","65,77%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2022/Q1,"86,18%","-16,74%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2022/Q2,"73,03%","-47,74%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2022/Q3,"64,82%","-217,80%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2022/Q4,"58,29%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2023/Q1,"53,72%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2023/Q2,"54,11%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2023/Q3,"50,95%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2023/Q4,"45,84%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2024/Q1,"37,88%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2024/Q2,"43,72%",
CASPAR-ASSET-MANAGEMENT,CASPAR,2024/Q3,"54,00%","-249,07%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2024/Q4,"44,18%","258,06%"
CASPAR-ASSET-MANAGEMENT,CASPAR,2025/Q1,"51,98%","43,30%"
CTS,CITYSERV,2013/Q4,"71,62%","65,37%"
CTS,CITYSERV,2014/Q4,"-308,26%",
CTS,CITYSERV,2015/Q1,"-1 097,50%","-65,19%"
CTS,CITYSERV,2015/Q2,"102,45%","165,78%"
CTS,CITYSERV,2015/Q3,"163,38%","230,99%"
CTS,CITYSERV,2015/Q4,"108,87%",
CTS,CITYSERV,2016/Q1,"59,59%","64,75%"
CTS,CITYSERV,2016/Q2,"34,02%","39,81%"
CTS,CITYSERV,2016/Q3,"18,52%","62,05%"
CTS,CITYSERV,2016/Q4,"5,12%","42,67%"
CTS,CITYSERV,2017/Q1,"5,61%","29,33%"
CTS,CITYSERV,2017/Q2,"12,69%","1 026,22%"
CTS,CITYSERV,2017/Q3,"14,29%","-202,88%"
CTS,CITYSERV,2017/Q4,"92,16%","-19,84%"
CTS,CITYSERV,2018/Q1,"91,87%","-22,75%"
CTS,CITYSERV,2018/Q2,"106,35%","67,22%"
CTS,CITYSERV,2018/Q3,"117,81%","485,15%"
CTS,CITYSERV,2018/Q4,"67,28%","136,05%"
CTS,CITYSERV,2019/Q1,"68,53%","168,12%"
CTS,CITYSERV,2019/Q2,"37,35%","862,55%"
CTS,CITYSERV,2019/Q3,"18,59%","86,65%"
CTS,CITYSERV,2019/Q4,"14,40%","-136,38%"
CTS,CITYSERV,2020/Q1,"18,71%",
CTS,CITYSERV,2020/Q2,"19,74%",
CTS,CITYSERV,2020/Q3,"33,07%","3,29%"
CTS,CITYSERV,2020/Q4,"26,26%",
CTS,CITYSERV,2021/Q1,"26,15%",
CTS,CITYSERV,2021/Q2,"16,40%",
CTS,CITYSERV,2021/Q3,"-8,63%",
CTS,CITYSERV,2021/Q4,"-355,17%",
CTS,CITYSERV,2022/Q1,"-532,84%","-96,57%"
CTS,CITYSERV,2022/Q2,"-3 776,35%","156,45%"
CTS,CITYSERV,2022/Q3,"-299,85%","135,90%"
CTS,CITYSERV,2022/Q4,"-33,78%","199,49%"
CTS,CITYSERV,2023/Q1,"-25,99%",
CTS,CITYSERV,2023/Q2,"-4,68%",
CTS,CITYSERV,2023/Q3,"7,63%",
CTS,CITYSERV,2023/Q4,"96,31%","27,92%"
CTS,CITYSERV,2024/Q1,"90,26%","73,73%"
CTS,CITYSERV,2024/Q2,"68,41%","70,81%"
CTS,CITYSERV,2024/Q3,"130,45%","61,44%"
CTS,CITYSERV,2024/Q4,"100,95%","150,17%"
CTS,CITYSERV,2025/Q1,"98,52%","97,79%"
CTX,CAPTORTX,2017/Q4,"-8,58%",
CTX,CAPTORTX,2018/Q4,"207,51%","10,41%"
CTX,CAPTORTX,2019/Q4,"-188,99%","2,26%"
CTX,CAPTORTX,2020/Q4,"2 129,87%","-14,35%"
CTX,CAPTORTX,2021/Q1,"178,14%","-18,36%"
CTX,CAPTORTX,2021/Q2,"101,50%","0,36%"
CTX,CAPTORTX,2021/Q3,"83,26%","0,34%"
CTX,CAPTORTX,2021/Q4,"114,40%","4,55%"
CTX,CAPTORTX,2022/Q1,"161,34%","4,65%"
CTX,CAPTORTX,2022/Q2,"152,16%","-56,83%"
CTX,CAPTORTX,2022/Q3,"152,56%","-72,95%"
CTX,CAPTORTX,2022/Q4,"156,41%","-60,22%"
CTX,CAPTORTX,2023/Q1,"157,89%","-42,78%"
CTX,CAPTORTX,2023/Q2,"141,72%","-1,51%"
CTX,CAPTORTX,2023/Q3,"176,97%",
CTX,CAPTORTX,2023/Q4,"135,21%",
CTX,CAPTORTX,2024/Q1,"119,31%",
CTX,CAPTORTX,2024/Q2,"122,43%",
CTX,CAPTORTX,2024/Q3,"100,56%",
CTX,CAPTORTX,2024/Q4,"120,54%",
CTX,CAPTORTX,2025/Q1,"-2 764,97%","-1 267,92%"
CZERWONA-TOREBKA,CZTOREBKA,2009/Q4,"33,35%",
CZERWONA-TOREBKA,CZTOREBKA,2010/Q4,"291,57%","107,24%"
CZERWONA-TOREBKA,CZTOREBKA,2011/Q4,"-470,11%","115,21%"
CZERWONA-TOREBKA,CZTOREBKA,2012/Q4,"80,26%","175,31%"
CZERWONA-TOREBKA,CZTOREBKA,2013/Q1,"62,05%","114,61%"
CZERWONA-TOREBKA,CZTOREBKA,2013/Q2,"15,53%","105,21%"
CZERWONA-TOREBKA,CZTOREBKA,2013/Q3,"2 983,51%","191,43%"
CZERWONA-TOREBKA,CZTOREBKA,2013/Q4,"-209,70%",
CZERWONA-TOREBKA,CZTOREBKA,2014/Q1,"178,57%",
CZERWONA-TOREBKA,CZTOREBKA,2014/Q2,"149,75%",
CZERWONA-TOREBKA,CZTOREBKA,2014/Q3,"234,62%",
CZERWONA-TOREBKA,CZTOREBKA,2014/Q4,"151,55%",
CZERWONA-TOREBKA,CZTOREBKA,2015/Q1,"209,07%",
CZERWONA-TOREBKA,CZTOREBKA,2015/Q2,"41,19%",
CZERWONA-TOREBKA,CZTOREBKA,2015/Q3,"15,85%",
CZERWONA-TOREBKA,CZTOREBKA,2015/Q4,"132,99%",
CZERWONA-TOREBKA,CZTOREBKA,2016/Q1,"92,33%",
CZERWONA-TOREBKA,CZTOREBKA,2016/Q2,"-522,09%",
CZERWONA-TOREBKA,CZTOREBKA,2016/Q3,"-554,73%",
CZERWONA-TOREBKA,CZTOREBKA,2016/Q4,"-475,32%",
CZERWONA-TOREBKA,CZTOREBKA,2017/Q1,"-383,74%",
CZERWONA-TOREBKA,CZTOREBKA,2017/Q2,"9 426,65%",
CZERWONA-TOREBKA,CZTOREBKA,2017/Q3,"108 639,05%",
CZERWONA-TOREBKA,CZTOREBKA,2017/Q4,"4 149,63%",
CZERWONA-TOREBKA,CZTOREBKA,2018/Q1,"3 606,48%",
CZERWONA-TOREBKA,CZTOREBKA,2018/Q2,"25 617,07%",
CZERWONA-TOREBKA,CZTOREBKA,2018/Q3,"-18 753,65%",
CZERWONA-TOREBKA,CZTOREBKA,2018/Q4,"-2 320,13%",
CZERWONA-TOREBKA,CZTOREBKA,2019/Q1,"-1 522,57%",
CZERWONA-TOREBKA,CZTOREBKA,2019/Q2,"-1 065,80%",
CZERWONA-TOREBKA,CZTOREBKA,2019/Q3,"-836,48%",
CZERWONA-TOREBKA,CZTOREBKA,2019/Q4,"-762,34%",
CZERWONA-TOREBKA,CZTOREBKA,2020/Q1,"-775,14%",
CZERWONA-TOREBKA,CZTOREBKA,2020/Q2,"-1 124,54%",
CZERWONA-TOREBKA,CZTOREBKA,2020/Q3,"-663,96%",
CZERWONA-TOREBKA,CZTOREBKA,2020/Q4,"83,70%",
CZERWONA-TOREBKA,CZTOREBKA,2021/Q1,"30,97%",
CZERWONA-TOREBKA,CZTOREBKA,2021/Q2,"18,86%",
CZERWONA-TOREBKA,CZTOREBKA,2021/Q3,"-160,08%",
CZERWONA-TOREBKA,CZTOREBKA,2021/Q4,"252,51%",
CZERWONA-TOREBKA,CZTOREBKA,2022/Q1,"81,63%",
CZERWONA-TOREBKA,CZTOREBKA,2022/Q2,"115,84%",
CZERWONA-TOREBKA,CZTOREBKA,2022/Q3,"127,04%",
CZERWONA-TOREBKA,CZTOREBKA,2022/Q4,"-179,56%",
CZERWONA-TOREBKA,CZTOREBKA,2023/Q1,"602,32%",
CZERWONA-TOREBKA,CZTOREBKA,2023/Q2,"256,56%",
CZERWONA-TOREBKA,CZTOREBKA,2023/Q3,"128,30%",
CZERWONA-TOREBKA,CZTOREBKA,2023/Q4,"61,24%",
CZERWONA-TOREBKA,CZTOREBKA,2024/Q1,"56,51%",
CZERWONA-TOREBKA,CZTOREBKA,2024/Q2,"42,15%",
CZERWONA-TOREBKA,CZTOREBKA,2024/Q3,"71,97%",
CZERWONA-TOREBKA,CZTOREBKA,2024/Q4,"55,63%",
CZERWONA-TOREBKA,CZTOREBKA,2025/Q1,"59,10%",
DAD,DADELO,2017/Q4,"194,37%","17,95%"
DAD,DADELO,2018/Q4,"2 786,21%",
DAD,DADELO,2019/Q4,"-7,20%","-8,99%"
DAD,DADELO,2020/Q4,"-255,13%","48,34%"
DAD,DADELO,2021/Q1,"-29,71%","4,58%"
DAD,DADELO,2021/Q2,"-30,53%","44,00%"
DAD,DADELO,2021/Q3,"-29,04%","38,98%"
DAD,DADELO,2021/Q4,"-21,72%","37,96%"
DAD,DADELO,2022/Q1,"-25,42%","-71,94%"
DAD,DADELO,2022/Q2,"-33,57%",
DAD,DADELO,2022/Q3,"-24,47%",
DAD,DADELO,2022/Q4,"-29,37%","-17,80%"
DAD,DADELO,2023/Q1,"51,76%","230,24%"
DAD,DADELO,2023/Q2,"48,92%","135,01%"
DAD,DADELO,2023/Q3,"-195,05%","-241,86%"
DAD,DADELO,2023/Q4,"30,94%","-463,92%"
DAD,DADELO,2024/Q1,"87,57%","615,43%"
DAD,DADELO,2024/Q2,"147,61%","208,55%"
DAD,DADELO,2024/Q3,"149,87%","153,22%"
DAD,DADELO,2024/Q4,"-86,86%","48,59%"
DAD,DADELO,2025/Q1,"-20,06%","95,09%"
DAT,DATAWALK,2011/Q4,"788,57%",
DAT,DATAWALK,2012/Q4,"-93,43%","16,46%"
DAT,DATAWALK,2013/Q1,"-21,79%","15,15%"
DAT,DATAWALK,2013/Q2,"6,70%","3,98%"
DAT,DATAWALK,2013/Q3,"43,69%","32,05%"
DAT,DATAWALK,2013/Q4,"116,71%","103,41%"
DAT,DATAWALK,2014/Q1,"132,36%","22,78%"
DAT,DATAWALK,2014/Q2,"119,52%","133,89%"
DAT,DATAWALK,2014/Q3,"113,07%","-61,62%"
DAT,DATAWALK,2014/Q4,"108,83%","0,47%"
DAT,DATAWALK,2015/Q1,"108,51%","-4,13%"
DAT,DATAWALK,2015/Q2,"111,50%","3,34%"
DAT,DATAWALK,2015/Q3,"99,35%","0,40%"
DAT,DATAWALK,2015/Q4,"98,36%","2,84%"
DAT,DATAWALK,2016/Q1,"92,14%","17,80%"
DAT,DATAWALK,2016/Q2,"90,64%","26,49%"
DAT,DATAWALK,2016/Q3,"88,50%","-43,87%"
DAT,DATAWALK,2016/Q4,"92,33%","-43,08%"
DAT,DATAWALK,2017/Q1,"93,82%","-6,09%"
DAT,DATAWALK,2017/Q2,"97,54%","-6,73%"
DAT,DATAWALK,2017/Q3,"92,46%","-2,70%"
DAT,DATAWALK,2017/Q4,"102,43%","286,82%"
DAT,DATAWALK,2018/Q1,"105,30%","311,04%"
DAT,DATAWALK,2018/Q2,"94,85%",
DAT,DATAWALK,2018/Q3,"126,53%",
DAT,DATAWALK,2018/Q4,"117,32%",
DAT,DATAWALK,2019/Q1,"133,69%",
DAT,DATAWALK,2019/Q2,"154,43%","2 016,07%"
DAT,DATAWALK,2019/Q3,"131,34%","-1 707,09%"
DAT,DATAWALK,2019/Q4,"101,56%","51,35%"
DAT,DATAWALK,2020/Q1,"108,15%",
DAT,DATAWALK,2020/Q2,"87,19%","51,05%"
DAT,DATAWALK,2020/Q3,"80,69%","62,91%"
DAT,DATAWALK,2020/Q4,"1 776,12%","1,24%"
DAT,DATAWALK,2021/Q1,"139,63%","8,33%"
DAT,DATAWALK,2021/Q2,"40,71%","11,65%"
DAT,DATAWALK,2021/Q3,"94,35%","54,50%"
DAT,DATAWALK,2021/Q4,"12,43%","-58,79%"
DAT,DATAWALK,2022/Q1,"37,69%","-91,74%"
DAT,DATAWALK,2022/Q2,"821,28%","-103,20%"
DAT,DATAWALK,2022/Q3,"626,93%","78,79%"
DAT,DATAWALK,2022/Q4,"580,53%","65,68%"
DAT,DATAWALK,2023/Q1,"457,70%","75,00%"
DAT,DATAWALK,2023/Q2,"170,00%","282,85%"
DAT,DATAWALK,2023/Q3,"118,87%",
DAT,DATAWALK,2023/Q4,"82,74%","-30,65%"
DAT,DATAWALK,2024/Q1,"161,86%","-27,38%"
DAT,DATAWALK,2024/Q2,"246,23%",
DAT,DATAWALK,2024/Q3,"198,78%","201,47%"
DAT,DATAWALK,2024/Q4,"290,45%","55,41%"
